Date,Price,Open,High,Low,Vol.,Change %
7/1/2016,1172.40,1180.00,1180.00,1170.10,2.00M,0.00
6/30/2016,1170.80,1180.50,1184.50,1167.95,4.67M,-0.01
6/29/2016,1176.85,1169.00,1179.90,1160.20,2.73M,0.02
6/28/2016,1159.15,1162.80,1172.50,1155.10,3.83M,-0.01
6/27/2016,1166.20,1172.05,1183.20,1160.00,2.79M,-0.02
6/24/2016,1194.55,1188.00,1199.00,1160.00,3.90M,-0.01
6/23/2016,1211.60,1197.30,1214.85,1193.35,1.91M,0.01
6/22/2016,1199.50,1204.00,1211.95,1188.15,1.52M,-0.01
6/21/2016,1206.10,1211.20,1214.80,1195.65,2.38M,0.00
6/20/2016,1208.75,1181.00,1211.80,1179.70,3.11M,0.02
6/17/2016,1179.50,1189.00,1192.75,1175.10,4.26M,-0.01
6/16/2016,1186.00,1189.50,1189.50,1170.10,2.65M,0.00
6/15/2016,1189.95,1183.70,1192.65,1179.05,3.36M,0.01
6/14/2016,1175.00,1182.40,1182.40,1167.25,1.47M,-0.01
6/13/2016,1180.90,1176.80,1184.90,1166.00,2.64M,0.00
6/10/2016,1180.60,1175.40,1190.00,1170.10,3.19M,0.00
6/9/2016,1185.50,1226.25,1226.25,1180.05,6.37M,-0.04
6/8/2016,1238.10,1263.95,1263.95,1235.35,4.37M,-0.02
6/7/2016,1257.40,1267.00,1272.50,1255.10,2.85M,-0.01
6/6/2016,1266.75,1264.90,1277.00,1261.10,2.11M,0.00
6/3/2016,1266.90,1260.05,1279.30,1260.05,2.00M,0.00
6/2/2016,1261.55,1255.00,1274.90,1254.00,2.53M,0.00
6/1/2016,1258.20,1246.05,1268.50,1246.00,2.42M,0.01
5/31/2016,1248.65,1265.00,1266.75,1239.00,6.89M,-0.01
5/30/2016,1267.60,1241.50,1272.00,1241.50,2.64M,0.02
5/27/2016,1247.50,1231.60,1259.50,1231.60,3.09M,0.01
5/26/2016,1234.15,1210.10,1239.80,1210.10,3.07M,0.02
5/25/2016,1208.65,1194.10,1213.10,1194.10,1.93M,0.02
5/24/2016,1187.75,1191.05,1191.75,1177.60,1.74M,0.00
5/23/2016,1188.00,1203.40,1205.15,1185.00,2.29M,-0.01
5/20/2016,1201.60,1205.00,1219.50,1200.00,2.00M,0.00
5/19/2016,1205.75,1210.95,1216.15,1201.00,1.98M,0.00
5/18/2016,1209.85,1199.00,1214.00,1197.90,2.13M,0.00
5/17/2016,1214.25,1220.00,1225.75,1208.15,1.90M,0.00
5/16/2016,1215.00,1210.20,1223.65,1205.00,2.27M,0.01
5/13/2016,1207.25,1206.00,1210.00,1192.15,2.83M,0.00
5/12/2016,1210.00,1203.90,1213.00,1196.80,1.70M,0.01
5/11/2016,1201.85,1198.50,1214.70,1192.50,1.85M,-0.01
5/10/2016,1212.80,1202.50,1216.65,1196.60,1.70M,0.01
5/9/2016,1199.05,1182.00,1201.55,1180.60,2.56M,0.01
5/6/2016,1181.50,1189.80,1189.80,1177.05,1.30M,-0.01
5/5/2016,1192.45,1195.15,1199.00,1181.10,3.15M,0.00
5/4/2016,1188.85,1181.00,1193.00,1170.65,2.91M,0.01
5/3/2016,1177.80,1202.75,1212.20,1171.80,3.41M,-0.02
5/2/2016,1201.05,1210.00,1211.15,1196.15,1.81M,-0.01
4/29/2016,1208.10,1211.45,1223.55,1205.00,2.52M,0.00
4/28/2016,1209.15,1231.00,1239.60,1207.00,6.08M,-0.03
4/27/2016,1240.15,1229.20,1242.35,1228.55,2.24M,0.01
4/26/2016,1232.15,1215.45,1239.55,1208.60,2.92M,0.01
4/25/2016,1215.85,1212.05,1224.80,1201.10,2.68M,0.00
4/22/2016,1211.25,1226.30,1228.50,1207.00,2.57M,-0.01
4/21/2016,1226.30,1251.00,1251.00,1218.10,2.72M,-0.01
4/20/2016,1243.60,1244.00,1246.45,1225.80,4.04M,0.00
4/18/2016,1238.70,1250.00,1267.90,1233.50,12.51M,0.06
4/13/2016,1172.70,1194.95,1194.95,1166.35,6.26M,-0.01
4/12/2016,1182.20,1180.50,1194.90,1178.60,2.92M,0.00
4/11/2016,1183.90,1165.80,1186.75,1151.10,2.88M,0.02
4/8/2016,1165.75,1175.85,1177.50,1162.05,2.10M,-0.01
4/7/2016,1181.50,1208.40,1208.40,1175.00,2.83M,-0.02
4/6/2016,1200.70,1228.00,1228.00,1196.00,2.47M,-0.02
4/5/2016,1219.80,1242.00,1242.30,1214.00,2.40M,-0.02
4/4/2016,1243.70,1213.55,1248.00,1213.55,2.29M,0.03
4/1/2016,1205.45,1216.00,1222.20,1195.10,2.76M,-0.01
3/31/2016,1218.30,1210.25,1229.90,1200.30,9.00M,0.01
3/30/2016,1205.95,1197.60,1210.00,1195.55,2.88M,0.01
3/29/2016,1197.25,1199.00,1218.90,1191.55,3.50M,-0.01
3/28/2016,1204.90,1232.40,1237.00,1195.75,5.39M,0.00
3/23/2016,1207.80,1190.00,1210.70,1182.10,3.17M,0.02
3/22/2016,1189.95,1191.25,1194.00,1172.00,3.55M,0.00
3/21/2016,1194.90,1188.00,1199.00,1180.05,2.57M,0.00
3/18/2016,1193.40,1162.80,1199.00,1162.00,4.24M,0.03
3/17/2016,1161.75,1156.90,1169.75,1154.05,3.24M,0.01
3/16/2016,1152.45,1141.90,1155.00,1131.55,2.79M,0.02
3/15/2016,1134.40,1144.00,1154.50,1128.95,3.36M,-0.01
3/14/2016,1141.20,1146.00,1154.25,1138.50,2.09M,0.00
3/11/2016,1143.00,1146.20,1155.95,1138.20,2.03M,0.00
3/10/2016,1142.50,1162.90,1162.90,1139.35,12.19M,-0.03
3/9/2016,1178.50,1145.00,1183.75,1142.95,3.15M,0.01
3/8/2016,1163.45,1163.00,1190.50,1147.40,3.81M,-0.01
3/4/2016,1170.65,1175.60,1185.00,1159.10,2.14M,0.00
3/3/2016,1169.30,1168.00,1192.85,1154.00,2.91M,0.01
3/2/2016,1156.00,1137.05,1163.50,1125.00,3.61M,0.03
3/1/2016,1125.45,1094.80,1130.30,1094.80,3.19M,0.04
2/29/2016,1084.05,1129.50,1130.40,1068.30,4.08M,-0.03
2/26/2016,1121.15,1120.15,1132.00,1116.00,2.12M,0.01
2/25/2016,1110.30,1125.40,1130.60,1101.10,2.24M,-0.01
2/24/2016,1125.35,1119.50,1143.75,1118.35,2.48M,0.00
2/23/2016,1123.90,1130.25,1132.50,1116.05,1.25M,0.00
2/22/2016,1126.65,1131.00,1133.95,1114.05,1.93M,0.00
2/19/2016,1127.25,1119.20,1134.20,1113.85,1.99M,0.00
2/18/2016,1123.40,1100.00,1127.00,1100.00,2.09M,0.02
2/17/2016,1097.85,1081.75,1103.00,1077.00,2.08M,0.02
2/16/2016,1079.15,1087.00,1092.75,1073.70,2.56M,-0.01
2/15/2016,1091.75,1096.25,1100.20,1086.60,2.55M,0.01
2/12/2016,1084.65,1094.70,1104.40,1067.00,3.70M,0.01
2/11/2016,1078.65,1111.00,1113.00,1071.15,2.61M,-0.03
2/10/2016,1108.55,1108.00,1127.50,1105.00,2.93M,0.00
2/9/2016,1107.65,1128.30,1128.30,1093.50,3.79M,-0.04
2/8/2016,1150.80,1163.75,1172.20,1143.80,2.11M,-0.02
2/5/2016,1174.70,1175.50,1186.65,1171.85,1.99M,0.00
2/4/2016,1179.75,1160.05,1194.95,1160.05,2.77M,0.02
2/3/2016,1157.70,1167.80,1175.90,1152.75,2.62M,-0.02
2/2/2016,1175.55,1176.85,1190.00,1164.00,3.82M,0.00
2/1/2016,1173.35,1170.00,1179.90,1161.60,2.13M,0.01
